AIRPORT_A,AIRPORT_B,roundtrip_flights,avg_roundtrip_fare,ticket_revenue_per_roundtrip,baggage_revenue_per_roundtrip,total_revenue,total_distance_cost,total_airport_fees,total_delay_cost,total_cost,profit,profit_per_roundtrip,breakeven_roundtrips
JFK,LAX,3160,956.6566904868031,124379.5985178581,4550.520569620254,407419176.3164316,143593560.0,63200000.0,8155800.0,214949360.0,192469816.31643158,60908.16972038974,1478.0
JFK,SFO,1860,816.7167931898584,106149.03937717798,4548.965331900026,205898288.7588851,88334605.08,37210000.0,8100450.0,133645055.08,72253233.67888509,38845.82455854037,2317.0
ATL,LGA,2297,459.4776728715025,59834.114718904566,4557.771005659555,147908161.50932378,32135765.04,45940000.0,6819825.0,84895590.03999999,63012571.469323784,27432.551793349492,3281.0
LGA,ORD,3578,362.02274464831805,46999.51682080049,4543.86668529905,184422226.18482417,48152294.64,71560000.0,21937950.0,141650244.64,42771981.54482418,11954.159179660197,7529.0
LAX,SFO,4170,295.00320183894405,38292.193784599076,4543.09232613909,178623143.08177817,25801124.4,83400000.0,22064250.0,131265374.4,47357768.68177816,11356.779060378456,7925.0
